Week,Firm,Price,TrendScore,MarketShare,PredictedQuantity,Revenue,Profit,ConversionRate,Scenario
7,Firm_C,10,0.8233791832505681,0.10650697891920073,203.6082830352896,2036.0828303528958,1018.0414151764479,0.10650697891920073,Baseline
8,Firm_A,10,0.8127963582639532,0.10650697891920066,203.04471067641197,2030.4471067641198,1015.2235533820599,0.10650697891920066,Baseline
8,Firm_B,8,0.8127963582639532,0.7869860421615986,1500.3087577791525,12002.47006223322,4500.926273337458,0.7869860421615986,Baseline
8,Firm_C,10,0.8127963582639532,0.10650697891920066,203.04471067641197,2030.4471067641198,1015.2235533820599,0.10650697891920066,Baseline
9,Firm_A,10,0.7388794202893849,0.10650697891920073,199.1083757990975,1991.083757990975,995.5418789954875,0.10650697891920073,Baseline
9,Firm_B,8,0.7388794202893849,0.7869860421615984,1471.2229585464972,11769.783668371978,4413.6688756394915,0.7869860421615984,Baseline
9,Firm_C,10,0.7388794202893849,0.10650697891920073,199.1083757990975,1991.083757990975,995.5418789954875,0.10650697891920073,Baseline
10,Firm_A,10,1.0,0.10650697891920073,213.01395783840147,2130.139578384015,1065.0697891920074,0.10650697891920073,Baseline
10,Firm_B,8,1.0,0.7869860421615984,1573.972084323197,12591.776674585575,4721.9162529695905,0.7869860421615984,Baseline
10,Firm_C,10,1.0,0.10650697891920073,213.01395783840147,2130.139578384015,1065.0697891920074,0.10650697891920073,Baseline
1,Firm_A,10,0.29799733339613765,0.3333333333333333,549.6662222326895,5496.662222326895,2748.3311111634475,0.3333333333333333,Shock
1,Firm_B,10,0.29799733339613765,0.3333333333333333,549.6662222326895,5496.662222326895,2748.3311111634475,0.3333333333333333,Shock
1,Firm_C,10,0.29799733339613765,0.3333333333333333,549.6662222326895,5496.662222326895,2748.3311111634475,0.3333333333333333,Shock
2,Firm_A,10,0.3020546540165777,0.3333333333333333,550.3424423360963,5503.4244233609625,2751.7122116804812,0.3333333333333333,Shock
2,Firm_B,10,0.3020546540165777,0.3333333333333333,550.3424423360963,5503.4244233609625,2751.7122116804812,0.3333333333333333,Shock
2,Firm_C,10,0.3020546540165777,0.3333333333333333,550.3424423360963,5503.4244233609625,2751.7122116804812,0.3333333333333333,Shock
3,Firm_A,10,1.0000000000000002,0.04527850074362907,90.55700148725813,905.5700148725814,452.7850074362907,0.04527850074362907,Shock
3,Firm_B,10,1.0000000000000002,0.04527850074362907,90.55700148725813,905.5700148725814,452.7850074362907,0.04527850074362907,Shock
3,Firm_C,7,1.0000000000000002,0.9094429985127419,1818.885997025484,12732.201979178388,3637.771994050968,0.9094429985127419,Shock
4,Firm_A,10,0.038993418258588014,0.3333333333333333,506.498903043098,5064.98903043098,2532.49451521549,0.3333333333333333,Shock
4,Firm_B,10,0.038993418258588014,0.3333333333333333,506.498903043098,5064.98903043098,2532.49451521549,0.3333333333333333,Shock
4,Firm_C,10,0.038993418258588014,0.3333333333333333,506.498903043098,5064.98903043098,2532.49451521549,0.3333333333333333,Shock
5,Firm_A,10,0.0,0.10650697891920073,159.7604683788011,1597.604683788011,798.8023418940055,0.10650697891920073,Shock
5,Firm_B,8,0.0,0.7869860421615984,1180.4790632423976,9443.832505939181,3541.437189727193,0.7869860421615984,Shock
5,Firm_C,10,0.0,0.10650697891920073,159.7604683788011,1597.604683788011,798.8023418940055,0.10650697891920073,Shock
6,Firm_A,10,0.0284174008692947,0.03511902695933972,53.17753617263115,531.7753617263115,265.88768086315577,0.03511902695933972,Shock
6,Firm_B,8,0.0284174008692947,0.2594964603424191,392.9317979824854,3143.4543838598834,1178.7953939474562,0.2594964603424191,Shock
6,Firm_C,7,0.0284174008692947,0.7053845126982411,1068.0993662795306,7476.695563956714,2136.198732559061,0.705384512698241,Shock
7,Firm_A,10,0.5100254671054362,0.10650697891920073,186.92110421542822,1869.211042154282,934.605521077141,0.10650697891920075,Shock
7,Firm_B,8,0.5100254671054362,0.7869860421615984,1381.1705251218616,11049.364200974893,4143.511575365585,0.7869860421615985,Shock
7,Firm_C,10,0.5100254671054362,0.10650697891920073,186.92110421542822,1869.211042154282,934.605521077141,0.10650697891920075,Shock
8,Firm_A,10,0.5073002869248713,0.10650697891920066,186.77597886140686,1867.7597886140686,933.8798943070343,0.10650697891920066,Shock
8,Firm_B,8,0.5073002869248713,0.7869860421615986,1380.0981857396218,11040.785485916975,4140.2945572188655,0.7869860421615986,Shock
8,Firm_C,10,0.5073002869248713,0.10650697891920066,186.77597886140686,1867.7597886140686,933.8798943070343,0.10650697891920066,Shock
9,Firm_A,10,0.4882659577517905,0.10650697891920073,185.76233441341776,1857.6233441341776,928.8116720670888,0.10650697891920073,Shock
9,Firm_B,8,0.4882659577517905,0.7869860421615984,1372.6083100490596,10980.866480392477,4117.824930147179,0.7869860421615984,Shock
9,Firm_C,10,0.4882659577517905,0.10650697891920073,185.76233441341776,1857.6233441341776,928.8116720670888,0.10650697891920073,Shock
10,Firm_A,10,0.5555070421942708,0.10650697891920083,189.34315679502765,1893.4315679502765,946.7157839751383,0.10650697891920083,Shock
10,Firm_B,8,0.5555070421942708,0.7869860421615984,1399.0672075070802,11192.537660056641,4197.201622521241,0.7869860421615984,Shock
10,Firm_C,10,0.5555070421942708,0.10650697891920083,189.34315679502765,1893.4315679502765,946.7157839751383,0.10650697891920083,Shock
